state,district,vote,name,party,bill,bill_text
IN,1,No,Peter Visclosky,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
OR,2,Yes,Greg Walden,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,43,No,Maxine Waters,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
SC,2,Yes,Joe Wilson,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
AK,0,Yes,Don Young,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
SC,1,No,Marshall “Mark” Sanford,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NC,1,No,George “G.K.” Butterfield,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,16,Not Voting,Jim Costa,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
FL,23,No,Debbie Wasserman Schultz,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IL,3,No,Daniel Lipinski,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MO,5,Yes,Emanuel Cleaver II,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NE,1,Yes,Jeff Fortenberry,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NY,26,No,Brian Higgins,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NC,5,Yes,Virginia Foxx,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NC,10,Yes,Patrick McHenry,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,1,Yes,Louie Gohmert,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,2,No,Ted Poe,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,9,No,Al Green,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,10,Yes,Michael McCaul,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,11,Yes,Michael Conaway,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,24,Yes,Kenny Marchant,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,28,No,Henry Cuellar,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
WA,5,Yes,Cathy McMorris Rodgers,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
WA,8,Yes,David Reichert,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
WI,4,Yes,Gwen Moore,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,6,No,Doris Matsui,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MN,8,Yes,Richard Nolan,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
PA,9,Yes,Bill Shuster,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NJ,8,No,Albio Sires,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,9,No,Jerry McNerney,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,23,Yes,Kevin McCarthy,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CO,5,Yes,Doug Lamborn,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CO,7,Yes,Ed Perlmutter,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CT,2,Yes,Joe Courtney,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
FL,14,No,Kathy Castor,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
FL,16,Yes,Vern Buchanan,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
GA,4,No,Henry “Hank” Johnson,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IL,6,Yes,Peter Roskam,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IA,2,Yes,David Loebsack,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
KY,3,Yes,John Yarmuth,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MD,3,No,John Sarbanes,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MI,7,Yes,Tim Walberg,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MN,1,Not Voting,Timothy Walz,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MN,5,No,Keith Ellison,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NE,3,Not Voting,Adrian Smith,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NH,1,Not Voting,Carol Shea-Porter,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NY,9,No,Yvette Clarke,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
OH,4,Yes,Jim Jordan,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TN,9,Yes,Steve Cohen,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
VT,0,Yes,Peter Welch,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
FL,12,Yes,Gus Bilirakis,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MA,3,No,Niki Tsongas,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
VA,1,Yes,Robert Wittman,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
OH,5,Yes,Robert Latta,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IL,11,Yes,Bill Foster,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IN,7,No,André Carson,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,14,No,Jackie Speier,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
LA,1,Yes,Steve Scalise,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CO,6,Yes,Mike Coffman,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
VA,11,No,Gerald Connolly,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
KY,2,Yes,Brett Guthrie,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MS,3,Yes,Gregg Harper,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CT,4,Yes,James Himes,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,50,No,Duncan Hunter,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
KS,2,Not Voting,Lynn Jenkins,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NJ,7,Yes,Leonard Lance,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MO,3,Yes,Blaine Luetkemeyer,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NM,3,Yes,Ben Luján,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,4,No,Tom McClintock,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,22,Yes,Pete Olson,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MN,3,Yes,Erik Paulsen,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
ME,1,No,Chellie Pingree,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CO,2,Not Voting,Jared Polis,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
FL,8,Yes,Bill Posey,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TN,1,Yes,David “Phil” Roe,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
FL,17,Yes,Thomas Rooney,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
OR,5,Yes,Kurt Schrader,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
PA,5,Yes,Glenn Thompson,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NV,1,No,Dina Titus,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NY,20,No,Paul Tonko,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
OH,11,No,Marcia Fudge,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IL,5,No,Mike Quigley,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,27,No,Judy Chu,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,3,Yes,John Garamendi,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
FL,22,No,Theodore “Ted” Deutch,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
GA,14,Yes,Tom Graves,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NY,23,Yes,Tom Reed II,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
AL,2,Yes,Martha Roby,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
AL,5,Yes,Mo Brooks,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
AL,7,No,Terri Sewell,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
AZ,4,No,Paul Gosar,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
AZ,6,Yes,David Schweikert,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
AR,1,Not Voting,Eric “Rick” Crawford,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
AR,3,Yes,Steve Womack,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,10,Yes,Jeff Denham,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,37,No,Karen Bass,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CO,3,Yes,Scott Tipton,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
FL,11,Yes,Daniel Webster,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
FL,15,Not Voting,Dennis Ross,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
FL,24,No,Frederica Wilson,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
GA,7,Yes,Rob Woodall,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
GA,8,Not Voting,Austin Scott,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
HI,1,Not Voting,Colleen Hanabusa,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
ID,1,Yes,Raúl Labrador,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IL,16,Yes,Adam Kinzinger,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IL,14,Not Voting,Randy Hultgren,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IN,4,Yes,Todd Rokita,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IN,8,Yes,Larry Bucshon,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
KS,3,Yes,Kevin Yoder,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
LA,2,No,Cedric Richmond,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MD,1,No,Andy Harris,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MA,9,Not Voting,William Keating,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MI,2,Yes,Bill Huizenga,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MI,3,No,Justin Amash,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MS,4,Yes,Steven Palazzo,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MO,4,Yes,Vicky Hartzler,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MO,7,Yes,Billy Long,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
OH,6,Yes,Bill Johnson,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
OH,15,Yes,Steve Stivers,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
OH,16,Yes,James Renacci,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
OH,7,Yes,Bob Gibbs,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
PA,3,Yes,Mike Kelly,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
PA,10,Yes,Tom Marino,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
PA,11,Yes,Lou Barletta,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
RI,1,No,David Cicilline,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
SC,3,Not Voting,Jeff Duncan,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
SC,4,Yes,Trey Gowdy,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
SD,0,Not Voting,Kristi Noem,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TN,3,Yes,Charles “Chuck” Fleischmann,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TN,4,Yes,Scott DesJarlais,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TN,6,Not Voting,Diane Black,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,17,Yes,Bill Flores,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
VA,9,No,Morgan Griffith,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
WA,3,Yes,Jaime Herrera Beutler,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
WV,1,Yes,David McKinley,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
WI,7,Yes,Sean Duffy,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NV,2,Yes,Mark Amodei,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
OR,1,Yes,Suzanne Bonamici,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
KY,4,No,Thomas Massie,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
WA,1,Yes,Suzan DelBene,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NJ,10,Yes,Donald Payne,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
AZ,9,Not Voting,Kyrsten Sinema,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,1,Yes,Doug LaMalfa,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,2,No,Jared Huffman,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,7,Yes,Ami Bera,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,8,Yes,Paul Cook,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,15,Not Voting,Eric Swalwell,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,21,Yes,David Valadao,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,26,No,Julia Brownley,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,29,No,Tony Cárdenas,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,36,No,Raul Ruiz,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,41,No,Mark Takano,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,47,Not Voting,Alan Lowenthal,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,51,No,Juan Vargas,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CA,52,No,Scott Peters,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
CT,5,No,Elizabeth Esty,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
FL,3,Yes,Ted Yoho,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
FL,21,No,Lois Frankel,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
GA,9,Yes,Doug Collins,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
HI,2,No,Tulsi Gabbard,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IL,10,Yes,Bradley “Brad” Schneider,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IL,13,Yes,Rodney Davis,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IL,17,Yes,Cheri Bustos,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IN,2,Yes,Jackie Walorski,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IN,5,Yes,Susan Brooks,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IN,6,Not Voting,Luke Messer,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
KY,6,Yes,Garland “Andy” Barr,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MA,4,No,Joseph Kennedy III,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MD,6,Yes,John Delaney,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MI,5,Yes,Daniel Kildee,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MO,2,Yes,Ann Wagner,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NC,8,Yes,Richard Hudson,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NC,9,Yes,Robert Pittenger,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NC,11,Yes,Mark Meadows,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NC,2,Yes,George Holding,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
ND,0,Not Voting,Kevin Cramer,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NH,2,No,Ann Kuster,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NM,1,Not Voting,Michelle Lujan Grisham,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NY,6,No,Grace Meng,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NY,8,No,Hakeem Jeffries,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NY,18,Yes,Sean Maloney,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
NY,27,Yes,Chris Collins,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
OH,2,Yes,Brad Wenstrup,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
OH,3,No,Joyce Beatty,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
OH,14,Yes,David Joyce,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
OK,2,Yes,Markwayne Mullin,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
PA,4,No,Scott Perry,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
PA,12,Yes,Keith Rothfus,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
PA,17,No,Matthew Cartwright,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
SC,7,Yes,Tom Rice,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,14,Yes,Randy Weber,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,16,Yes,Beto O’Rourke,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,20,No,Joaquin Castro,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,25,Yes,Roger Williams,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,33,No,Marc Veasey,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
TX,34,Not Voting,Filemon Vela,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
UT,2,Yes,Chris Stewart,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
WA,6,Yes,Derek Kilmer,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
WA,10,No,Denny Heck,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
WI,2,Yes,Mark Pocan,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
IL,2,No,Robin Kelly,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MO,8,Yes,Jason Smith,Republican,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
MA,5,No,Katherine Clark,Democrat,CURD Act,Do you think that the label 'natural cheese' should only apply to dairy cheese and not plant-based cheese alternatives?
