state,district,vote,name,party,bill,bill_text
MN,7,Yes,Collin Peterson,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NC,4,Yes,David Price,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
KY,5,No,Hal Rogers,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
AL,3,No,Mike Rogers,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,40,Yes,Lucille Roybal-Allard,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MD,2,Yes,A. Dutch Ruppersberger,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IL,1,Yes,Bobby Rush,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OH,13,Yes,Tim Ryan,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,38,Yes,Linda Sánchez,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IL,9,Yes,Jan Schakowsky,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,28,Yes,Adam Schiff,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
GA,13,Yes,David Scott,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
VA,3,Yes,Bobby Scott,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
WI,5,No,James Sensenbrenner Jr.,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NY,15,Yes,José Serrano,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,30,Yes,Brad Sherman,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IL,15,No,John Shimkus,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
ID,2,No,Mike Simpson,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
WA,9,Yes,Adam Smith,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NJ,4,Yes,Christopher “Chris” Smith,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MS,2,Yes,Bennie Thompson,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,5,Yes,Mike Thompson,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,13,No,Mac Thornberry,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OH,10,No,Michael Turner,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MI,6,No,Fred Upton,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NY,7,Yes,Nydia Velázquez,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IN,1,Yes,Peter Visclosky,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OR,2,No,Greg Walden,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,43,Yes,Maxine Waters,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
SC,2,No,Joe Wilson,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
AK,0,No,Don Young,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NC,1,Yes,George G.K. Butterfield Jr.,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,16,Yes,Jim Costa,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
FL,23,Yes,Debbie Wasserman Schultz,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IL,3,Yes,Daniel Lipinski,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MO,5,Yes,Emanuel Cleaver II,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NE,1,Not Voting,Jeff Fortenberry,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NY,26,Yes,Brian Higgins,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NC,5,No,Virginia Foxx,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NC,10,No,Patrick McHenry,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,1,No,Louie Gohmert Jr.,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,9,Yes,Al Green,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,10,No,Michael McCaul,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,11,No,Michael Conaway,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,24,No,Kenny Marchant,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,28,Yes,Henry Cuellar,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
WA,5,No,Cathy McMorris Rodgers,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
WI,4,Yes,Gwen Moore,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,6,Yes,Doris Matsui,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NJ,8,Yes,Albio Sires,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,9,Yes,Jerry McNerney,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,23,No,Kevin McCarthy,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CO,5,No,Doug Lamborn,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CO,7,Yes,Ed Perlmutter,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CT,2,Yes,Joe Courtney,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
FL,14,Yes,Kathy Castor,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
FL,16,No,Vern Buchanan,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
GA,4,Yes,Hank Johnson Jr.,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IA,2,Yes,David Loebsack,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
KY,3,Yes,John Yarmuth,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MD,3,Yes,John Sarbanes,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MI,7,No,Tim Walberg,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NE,3,No,Adrian Smith,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NY,9,Yes,Yvette Clarke,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OH,4,No,Jim Jordan,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TN,9,Yes,Steve Cohen,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
VT,0,Yes,Peter Welch,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
